00018428,_also_see,00006106
00011905,_onto_nodes,00000149
00027167,_onto_nodes,00000027
00017397,_onto_nodes,00000053
00034102,_hypernym,00002954
00033647,_onto_nodes,00000062
00034655,_hypernym,00010657
00033426,_onto_nodes,00000027
00031567,_hypernym,00000861
00035216,_onto_nodes,00000027
00011002,_hypernym,00003345
00006397,_onto_nodes,00000026
00015834,_onto_nodes,00000023
00035461,_antonym,00005476
00021060,_onto_nodes,00000101
00031624,_onto_nodes,00000062
00013509,_onto_nodes,00000004
00032766,_onto_nodes,00000111
00009279,_hypernym,00000020
00038569,_onto_nodes,00000028
00038750,_hypernym,00001637
00033893,_hypernym,00007955
00033857,_hypernym,00001153
00023008,_onto_nodes,00000173
00022100,_onto_nodes,00000045
00025191,_onto_nodes,00000031
00036263,_onto_nodes,00000084
00021328,_hypernym,00004066
00029353,_onto_nodes,00000173
00003848,_onto_nodes,00000092
00008041,_hypernym,00002954
00026245,_onto_nodes,00000149
00031998,_hypernym,00001856
00037887,_hypernym,00008058
00035520,_onto_nodes,00000084
00008450,_meronym,00004273
00028658,_onto_nodes,00000101
00030654,_hypernym,00001856
00002376,_hypernym,00000046
00016660,_onto_nodes,00000083
00000491,_hypernym,00000503
00024597,_onto_nodes,00000037
00009316,_hypernym,00000923
00023874,_hypernym,00021876
00005604,_hypernym,00006809
00026399,_hypernym,00002273
00000943,_modifies_noun,00000196
00016847,_hypernym,00004897
00033179,_hypernym,00000073
00005308,_hypernym,00004578
00016354,_onto_nodes,00000027
00001949,_onto_nodes,00000027
00024229,_onto_nodes,00000027
00036663,_hypernym,00036664
00007575,_onto_nodes,00000173
00019271,_onto_nodes,00000052
00035929,_onto_nodes,00000111
00035986,_onto_nodes,00000052
00037394,_modifies_noun,00000196
00029589,_hypernym,00004430
00009136,_onto_nodes,00000052
00037271,_onto_nodes,00000150
00003665,_hypernym,00006103
00005204,_onto_nodes,00000111
00035824,_hypernym,00003643
00016561,_hypernym,00002349
00002720,_also_see,00012054
00008341,_hypernym,00007147
00006030,_onto_nodes,00000029
00002118,_hypernym,00000269
00005087,_meronym,00004273
00040116,_hypernym,00000923
00005124,_onto_nodes,00000183
00002515,_antonym,00002790
00023150,_hypernym,00009916
00024325,_onto_nodes,00000101
00026549,_hypernym,00003288
00008864,_hypernym,00003728
00004155,_antonym,00002705
00019471,_hypernym,00006379
00001373,_antonym,00002463
00015966,_hypernym,00001712
00036652,_hypernym,00003295
00037674,_modifies_noun,00012149
00021124,_onto_nodes,00000029
00038671,_onto_nodes,00000186
00003683,_onto_nodes,00000101
00009951,_onto_nodes,00000149
00000793,_onto_nodes,00000027
00023788,_onto_nodes,00000101
00015248,_hypernym,00006588
00007058,_hypernym,00000231
00019243,_hypernym,00002183
00004983,_onto_nodes,00000027
00016969,_hypernym,00007734
00027145,_onto_nodes,00000023
00020430,_hypernym,00007937
00037895,_hypernym,00008043
